_id,packageName,sourceDir,title,subtitle,description,websiteUrl,type,createdAt,updatedAt
ObjectId(58a795175fbc457423b17493),ru.adfox.android,ru/adfox/android,Adfox,,,https://www.adfox.ru/,ADVERTISEMENT,2017-02-18T00:16:35.930Z,2017-02-18T00:16:35.930Z
ObjectId(58a795175fbc457423b17494),com.flurry,com/flurry,Flurry - Yahoo,,,https://dev.flurry.com/,ANALYTICS,2017-02-18T00:16:35.931Z,2017-02-18T00:16:35.931Z
ObjectId(58a795175fbc457423b17495),com.smaato.soma,com/smaato/soma,Smaato,,,https://www.smaato.com/,ADVERTISEMENT,2017-02-18T00:16:35.931Z,2017-02-18T00:16:35.931Z
ObjectId(58a795185fbc457423b17496),sg.radioactive,sg/radioactive,RADIOactive,,,http://radioactive.sg/,ADVERTISEMENT,2017-02-18T00:16:35.931Z,2017-02-18T00:16:35.931Z
ObjectId(58a795185fbc457423b17498),com.moonglabs.ads,com/moonglabs/ads,Moonglabs,,,http://moonglabs.com/,ADVERTISEMENT,2017-02-18T00:16:35.932Z,2017-02-18T00:16:35.932Z
ObjectId(58a795185fbc457423b17499),com.ru.weborama,com/ru/weborama,Weborama,,,http://www.weborama.com/,ADVERTISEMENT,2017-02-18T00:16:35.932Z,2017-02-18T00:16:35.932Z
ObjectId(58a795195fbc457423b1749a),tw.mobiforce,tw/mobiforce,Mobi-Force,,,http://www.mobi-force.com/,ADVERTISEMENT,2017-02-18T00:16:35.933Z,2017-02-18T00:16:35.933Z
ObjectId(58a795195fbc457423b1749b),com.am.adlib,com/am/adlib,AM,,,https://www.am.com/,ADVERTISEMENT,2017-02-18T00:16:35.933Z,2017-02-18T00:16:35.933Z
ObjectId(58a795195fbc457423b1749c),com.revmob,com/revmob,Revmob,,,https://www.revmobmobileadnetwork.com/,ADVERTISEMENT,2017-02-18T00:16:35.934Z,2017-02-18T00:16:35.934Z
ObjectId(58a7951a5fbc457423b1749f),com.gfan.sdk,com/gfan/sdk,GFAN,,,http://www.gfan.com/,ADVERTISEMENT,2017-02-18T00:16:35.935Z,2017-02-18T00:16:35.935Z
ObjectId(58a7951a5fbc457423b174a0),com.kiwiup.promotion,com/kiwiup/promotion,Kiwi,,,http://www.kiwiup.com/,ADVERTISEMENT,2017-02-18T00:16:35.935Z,2017-02-18T00:16:35.935Z
ObjectId(58a7951b5fbc457423b174a1),com.adiquity.android,com/adiquity/android,AdiQuity,,,http://adiquity.com/,ADVERTISEMENT,2017-02-18T00:16:35.936Z,2017-02-18T00:16:35.936Z
ObjectId(58a7951b5fbc457423b174a2),cn.appmedia.ad,cn/appmedia/ad,AppMedia,,,http://www.appmedia.de/,ADVERTISEMENT,2017-02-18T00:16:35.936Z,2017-02-18T00:16:35.936Z
ObjectId(58a7951b5fbc457423b174a3),com.clickforce.ad,com/clickforce/ad,Clickforce,,,http://www.clickforce.com.tw/,ADVERTISEMENT,2017-02-18T00:16:35.937Z,2017-02-18T00:16:35.937Z
ObjectId(58a7951c5fbc457423b174a4),com.mobclix.android,com/mobclix/android,Mobclix - Velti,,,http://www.velti.com/mobclix.php,ADVERTISEMENT,2017-02-18T00:16:35.938Z,2017-02-18T00:16:35.938Z
ObjectId(58a7951c5fbc457423b174a5),com.ad_stir,com/ad_stir,AdStir,,,https://ad-stir.com,ADVERTISEMENT,2017-02-18T00:16:35.939Z,2017-02-18T00:16:35.939Z
ObjectId(58a7951c5fbc457423b174a7),jp.Adlantis.Android,jp/Adlantis/Android,AdLantis,,,https://sp.www.adlantis.jp/,ADVERTISEMENT,2017-02-18T00:16:35.940Z,2017-02-18T00:16:35.940Z
ObjectId(58a7951d5fbc457423b174a8),com.mtrip,com/mtrip,mtrip,,,https://www.mtrip.com/,ADVERTISEMENT,2017-02-18T00:16:35.941Z,2017-02-18T00:16:35.941Z
ObjectId(58a7951d5fbc457423b174a9),com.hammerhead,com/hammerhead,Hammerhead,,,http://www.hammerheadadvertising.com,ADVERTISEMENT,2017-02-18T00:16:35.942Z,2017-02-18T00:16:35.943Z
ObjectId(58a7951d5fbc457423b174ab),com.revolabinc.goodad,com/revolabinc/goodad,Revolabinc,,,https://www.revolabinc.com/,ADVERTISEMENT,2017-02-18T00:16:35.944Z,2017-02-18T00:16:35.944Z
ObjectId(58a7951e5fbc457423b174ad),com.turner.android,com/turner/android,Turner,,,http://www.turner.com/,ADVERTISEMENT,2017-02-18T00:16:35.945Z,2017-02-18T00:16:35.945Z
ObjectId(58a7951e5fbc457423b174af),com.qiang.escore,com/qiang/escore,Qiang Escore,,,,ADVERTISEMENT,2017-02-18T00:16:35.947Z,2017-02-18T00:16:35.947Z
ObjectId(58a7951f5fbc457423b174b0),com.purplebrain.adbuddiz,com/purplebrain/adbuddiz,AdBuddiz - PurpleBrain,,,https://www.adbuddiz.com/developers,ADVERTISEMENT,2017-02-18T00:16:35.947Z,2017-02-18T00:16:35.947Z
ObjectId(58a7951f5fbc457423b174b1),com.mopub.nativeads,com/mopub/nativeads,Mopub Native Ads,,,http://www.mopub.com/,ADVERTISEMENT,2017-02-18T00:16:35.949Z,2017-02-18T00:16:35.949Z
ObjectId(58a7951f5fbc457423b174b2),cn.waps.extend,cn/waps/extend,Waps,,,http://waps.cn/,ADVERTISEMENT,2017-02-18T00:16:35.951Z,2017-02-18T00:16:35.951Z
ObjectId(58a795205fbc457423b174b3),in.spicelabs.ads,in/spicelabs/ads,Spicelabs Ads,,,http://spicelabs.in/about.html,ADVERTISEMENT,2017-02-18T00:16:35.952Z,2017-02-18T00:16:35.952Z
ObjectId(58a795205fbc457423b174b4),com.adsmogo,com/adsmogo,AdsMogo,,,www.adsmogo.com/,ADVERTISEMENT,2017-02-18T00:16:35.953Z,2017-02-18T00:16:35.953Z
ObjectId(58a795205fbc457423b174b5),com.mobmatrix,com/mobmatrix,Mobmatrix,,,http://www.mobmatrix.com/,ADVERTISEMENT,2017-02-18T00:16:35.954Z,2017-02-18T00:16:35.954Z
ObjectId(58a795205fbc457423b174b6),com.emar.escore,com/emar/escore,Escore,,,www.escore.gr/,ADVERTISEMENT,2017-02-18T00:16:35.954Z,2017-02-18T00:16:35.954Z
ObjectId(58a795215fbc457423b174b7),com.pureagency.pureroi,com/pureagency/pureroi,PureAgency,,,https://www.pure-agency.de/,ADVERTISEMENT,2017-02-18T00:16:35.955Z,2017-02-18T00:16:35.955Z
